neuron,neuron_id,nickname,trust,milliampere,links_count,karma,first_link
bostrom1r7lah5y3qyq453hqfgmxl2y0s5wesh09huykuq,99,dumbcrypto,0.6153275571023896,2021,15,3248383603,2021-12-06T09:30:55
bostrom1y2ptynyf78vjl7agjj7e7x9t2k3gwgv5snkkcj,100,prometheus,0.7786441024567183,442,22,729244316,2021-12-06T10:45:11
bostrom1zmsts6u08t2fp02vs7xpe7csx6hqv0hdscs72t,102,borg1999,0,12025,4,211688075,2021-12-07T03:49:28
bostrom1l8hx9jxul439uyjve4zn45nujtx9gmrw3za3vs,103,👤,0,12857,2,1733050913,2021-12-07T09:00:01
bostrom16lvj0lyr6897zr2n8psa2esv09ewaelcx8vry7,104,kayroskhronos,0.5575182072864174,87729,265,232734983334,2021-12-07T16:28:20
bostrom1eljj8h8wc9me90s740qrl9n6slvn78lgl3det0,105,cosmosgooby,0,21918,4,2208602210,2021-12-07T21:43:36
bostrom14nzyt8wmx4g6zkeluelukamgsh5v4xgnc25k6j,106,savetheales,0.9347859832773421,16849285,5,12362693245160,2021-12-08T11:03:32
bostrom1cg79pj70mgl8xlum0rw5yy6enk9jszsrzvwysn,107,mrlp4,0.8987263790629983,19934605,23,16349979252284,2021-12-08T13:15:52
bostrom1jsxrctttevv46w0wy27q20m2l3nc67v8g3xgj7,108,👤,0,3010,1,226127321,2021-12-08T16:42:18
bostrom1jnpevf3zg3wc3vyqssxu96lz899g00skajgqra,109,13dedale13,0,775,1,11879533,2021-12-09T07:49:58
bostrom1qn8sr2hzmktlecusdtxj9hwj0upnm0jft9snar,110,master,0.39890871811115525,642880069,14,1089532068701278,2021-12-09T08:51:06
bostrom1pntx8ql2v7cqxu05etg8c4v0r2vz7qnq9uqmpy,111,superhuman,1,133070458,12,332070942819865,2021-12-09T10:27:02
bostrom1j74acake6d2mfx4ra4rx6p7cuv2z8x8qva6yrr,112,habibi,0,13331,2,1018736029,2021-12-10T12:00:52
bostrom1qau69grxwfp9sw9c7unpmsz7rmyc7u5ar3metc,113,👤,0.5988314543867536,281073,1,14150666385,2021-12-10T12:47:11
bostrom1ux3j2h446q9yf5dvsw4mwa5fnf07ja9v4l5uxc,114,👤,0.8539762336417812,10084,9,1616172786,2021-12-10T20:33:03
bostrom1tf3jl53fuctqx8s3p57vkhrc9l7tptfzzveztv,115,freddyissad,0.03211562431107233,11146,5,757742007,2021-12-11T04:36:15
bostrom1yke8cf6586jy209a90ev0lr9ks8ffjts2hs6u9,116,554444553545,0.45406705295114036,735249,7,398106854882,2021-12-11T09:40:25
bostrom1he0f64czkyhs2fhlp585sfpac6vg89xr82hdtv,117,octavian,0.8116848977060389,1271,73,101751199801,2021-12-11T15:03:17
bostrom1kkwwsk0v4h7tmccr4sdmpyl2j2gvfah6jzw7n8,118,👤,0,7458,1,114324666,2021-12-11T15:56:00
